ID,SMILES,Cleaned_SMILES
324,O=S(=O)(Nc1ccc(S(=O)(=O)C(F)F)cc1)c1ccc2c(c1)CCC2,O=S(=O)(Nc1ccc(S(=O)(=O)C(F)F)cc1)c1ccc2c(c1)CCC2
1221,CC(C)c1ccc(S(=O)(=O)Nc2ccc(S(=O)(=O)C(F)F)cc2)cc1,CC(C)c1ccc(S(=O)(=O)Nc2ccc(S(=O)(=O)C(F)F)cc2)cc1
1621,O=S(=O)(Nc1ccccc1N1CCCCC1)c1ccc2c(c1)CCC2,O=S(=O)(Nc1ccccc1N1CCCCC1)c1ccc2c(c1)CCC2
1904,O=S(=O)(Nc1cccc2cccnc12)c1ccc2c(c1)CCC2,O=S(=O)(Nc1cccc2cccnc12)c1ccc2c(c1)CCC2
2071,CCN1CCN(c2ccccc2NS(=O)(=O)c2ccc3c(c2)CCC3)CC1,CCN1CCN(c2ccccc2NS(=O)(=O)c2ccc3c(c2)CCC3)CC1
3293,O=C1CCCN1c1ccccc1NS(=O)(=O)c1ccc2c(c1)CCC2,O=C1CCCN1c1ccccc1NS(=O)(=O)c1ccc2c(c1)CCC2
3839,O=S(=O)(Nc1cc(Cl)ccc1N1CCOCC1)c1ccc2c(c1)CCC2,O=S(=O)(Nc1cc(Cl)ccc1N1CCOCC1)c1ccc2c(c1)CCC2
4023,Cc1ccc(S(=O)(=O)Nc2ccccc2N2CCOCC2)cc1,Cc1ccc(S(=O)(=O)Nc2ccccc2N2CCOCC2)cc1
4185,CCN1CCN(c2ccccc2NS(=O)(=O)c2ccc(C)cc2)CC1,CCN1CCN(c2ccccc2NS(=O)(=O)c2ccc(C)cc2)CC1
4946,O=S(=O)(Nc1cc(C(F)(F)F)ccc1N1CCOCC1)c1ccc2c(c1)CCC2,O=S(=O)(Nc1cc(C(F)(F)F)ccc1N1CCOCC1)c1ccc2c(c1)CCC2